1,5-FU,ABT-888,A2058,oneil_2016,9.669593055,20.336121483517,1
2,Mitomycine,PD325901,A2058,oneil_2016,14.76844184,52.309510641448895,309
3,Methotrexate,PD325901,A2058,oneil_2016,10.096463295,11.2793046440944,289
4,Metformin,PD325901,A2058,oneil_2016,4.6246477,33.7291137051997,269
5,Lapatinib,PD325901,A2058,oneil_2016,1.90392651,54.421775652372894,250
6,L778123,PD325901,A2058,oneil_2016,2.397438855,24.677014446379104,229
7,Gemcitabine,PD325901,A2058,oneil_2016,4.34675747,28.099280161861895,208
8,Etoposide,PD325901,A2058,oneil_2016,12.611421145,13.559657618003301,182
9,Erlotinib,PD325901,A2058,oneil_2016,2.43632543,22.6261341517227,164
10,Doxorubicin,PD325901,A2058,oneil_2016,20.138473670000003,32.2336918949722,150
11,Dexamethasone,PD325901,A2058,oneil_2016,11.66547817,17.2677393845949,129
12,Cyclophosphamide,PD325901,A2058,oneil_2016,2.62457482,15.7099126255934,99
13,Carboplatin,PD325901,A2058,oneil_2016,3.1605091549999997,9.6507945323343,79
14,AZD1775,PD325901,A2058,oneil_2016,2.82951408,20.6519642566241,44
15,5-FU,PD325901,A2058,oneil_2016,3.337727805,20.4376900478975,16
16,Zolinza,MK-8776,A2058,oneil_2016,4.3096351,47.9162210492037,576
17,Vinorelbine,MK-8776,A2058,oneil_2016,17.546381535000002,18.9948058406177,556
18,Vinblastine,MK-8776,A2058,oneil_2016,5.56925033,24.593758430094198,537
19,Metformin,MK-8776,A2058,oneil_2016,6.00007775,24.936427822405502,268
20,Methotrexate,MK-8776,A2058,oneil_2016,11.471893345,25.842694424415498,288
21,MK-2206,MK-8776,A2058,oneil_2016,4.46309772,31.3270182637613,322
22,MK-4541,MK-8776,A2058,oneil_2016,4.1672578950000005,24.6774381178916,352
23,MK-5108,MK-8776,A2058,oneil_2016,3.78669636,26.1173225906503,390
24,MK-8669,MK-8776,A2058,oneil_2016,6.04615914,49.267429474653206,399
25,MK-2206,PD325901,A2058,oneil_2016,3.08766767,37.046172005784896,324
26,MRK-003,MK-8776,A2058,oneil_2016,3.45257786,42.67550481521771,428
27,Paclitaxel,MK-8776,A2058,oneil_2016,13.047379295,24.143435736914302,457
28,PD325901,MK-8776,A2058,oneil_2016,5.18328307,31.342272786465998,470
29,SN-38,MK-8776,A2058,oneil_2016,4.3413865650000005,41.0351893078663,476
30,Sorafenib,MK-8776,A2058,oneil_2016,3.53341034,27.507580343576304,479
31,Sunitinib,MK-8776,A2058,oneil_2016,4.3775213100000006,40.3543240019184,493
32,Topotecan,MK-8776,A2058,oneil_2016,12.13103099,44.472319173854295,521
33,Oxaliplatin,MK-8776,A2058,oneil_2016,3.27935656,35.368553158758395,441
34,MK-4541,PD325901,A2058,oneil_2016,2.7918278450000003,23.2934493755564,356
35,MK-4827,PD325901,A2058,oneil_2016,8.896863380000001,13.999082106561902,376
36,MK-5108,PD325901,A2058,oneil_2016,2.4112663100000002,18.1606548562445,392
37,Etoposide,Sorafenib,A2058,oneil_2016,10.961548415,23.5888379563353,183
38,geldanamycin,Sorafenib,A2058,oneil_2016,11.65431085,30.8866715888151,192
39,Gemcitabine,Sorafenib,A2058,oneil_2016,2.6968847400000002,28.276382572866,209
40,L778123,Sorafenib,A2058,oneil_2016,0.7475661250000001,54.469888764609,231
41,Lapatinib,Sorafenib,A2058,oneil_2016,0.25405378,53.19838833798121,252
